Report Generated: 2026-02-15T00:48:54.124Z
Summary: 524 Readings analyzed. Avg Power: 42.42W, Peak Power: 691.3W, Avg Voltage: 121.14V

Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),PF
2026-02-15T00:15:53.911Z,125.2,0,0,0.041,60,0
2026-02-15T00:15:48.690Z,123.2,1.426,181.9,0.041,60,1
2026-02-15T00:15:43.468Z,117.4,5.841,685.8,0.04,60,1
2026-02-15T00:15:38.244Z,117.3,5.833,683.6,0.039,59.9,1
2026-02-15T00:15:32.873Z,117.3,5.834,684.3,0.038,59.9,1
2026-02-15T00:15:27.670Z,117.3,5.833,683.7,0.037,60,1
2026-02-15T00:15:22.476Z,117.4,5.839,685.1,0.036,60,1
2026-02-15T00:15:17.252Z,117.4,5.838,685.2,0.035,60,1
2026-02-15T00:15:11.929Z,117.4,5.842,685.8,0.034,60,1
2026-02-15T00:15:06.561Z,117.4,5.84,685.2,0.033,59.9,1
2026-02-15T00:15:01.379Z,117.3,5.835,684.4,0.032,59.9,1
2026-02-15T00:14:56.056Z,117.4,5.842,685.9,0.031,60,1
2026-02-15T00:14:50.833Z,117.6,5.848,687.1,0.03,60,1
2026-02-15T00:14:45.542Z,117.4,5.84,685.6,0.029,60,1
2026-02-15T00:14:40.345Z,117.5,5.847,686.9,0.028,60,1
2026-02-15T00:14:35.109Z,117.6,5.851,687.7,0.027,60,1
2026-02-15T00:14:29.857Z,117.8,5.859,690,0.026,60,1
2026-02-15T00:14:23.898Z,117.8,5.86,689.7,0.025,60,1
2026-02-15T00:14:18.574Z,117.9,5.865,691.3,0.024,60,1
2026-02-15T00:14:13.352Z,117.9,5.866,691.3,0.023,60,1
2026-02-15T00:14:08.114Z,117.8,5.861,690.2,0.022,60,1
2026-02-15T00:14:02.917Z,117.8,5.86,690,0.021,59.9,1
2026-02-15T00:13:57.583Z,117.7,5.858,689.4,0.02,60,1
2026-02-15T00:13:52.158Z,117.6,5.847,687.1,0.019,60,1
2026-02-15T00:13:46.935Z,117.7,0.051,0.9,0.019,60,0.15
2026-02-15T00:13:41.608Z,117.6,0,0.8,0.019,60,1
2026-02-15T00:13:36.384Z,117.6,0,0,0.019,60,0
2026-02-15T00:13:30.996Z,117.8,0,0,0.019,60,0
2026-02-15T00:13:25.225Z,117.8,0,0,0.019,60,0
2026-02-15T00:13:19.843Z,117.8,0,0,0.019,60,0
2026-02-15T00:13:14.640Z,117.8,0,0,0.019,59.9,0
2026-02-15T00:13:09.414Z,125.6,0,0,0.019,60,0
2026-02-15T00:13:04.229Z,125.4,0,0,0.019,60,0
2026-02-15T00:12:58.937Z,125.6,0,0,0.019,60,0
2026-02-15T00:12:53.647Z,125.5,0,0,0.019,60,0
2026-02-15T00:12:48.459Z,125.6,0,0,0.019,60,0
2026-02-15T00:12:43.219Z,125.5,0,0,0.019,60,0
2026-02-15T00:12:38.016Z,117.6,0,0.7,0.019,60,1
2026-02-15T00:12:32.695Z,117.6,0,0.7,0.019,59.9,1
2026-02-15T00:12:27.467Z,117.6,0,0.7,0.019,60,1
2026-02-15T00:12:22.244Z,117.6,0,0.8,0.019,59.9,1
2026-02-15T00:12:16.919Z,117.5,0,0.7,0.019,59.9,1
2026-02-15T00:12:11.697Z,117.4,0,0.8,0.019,60,1
2026-02-15T00:12:06.452Z,125.4,0,0,0.019,60,0
2026-02-15T00:12:01.255Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:11:55.928Z,125.3,0,0,0.019,59.9,0
2026-02-15T00:11:50.603Z,125.3,0,0,0.019,60,0
2026-02-15T00:11:45.380Z,125.4,0,0,0.019,60,0
2026-02-15T00:11:40.123Z,125.2,0,0,0.019,60,0
2026-02-15T00:11:34.937Z,125.2,0,0,0.019,60,0
2026-02-15T00:11:29.611Z,125.4,0,0,0.019,60,0
2026-02-15T00:11:24.216Z,125.3,0,0,0.019,60,0
2026-02-15T00:11:19.031Z,125.4,0,0,0.019,59.9,0
2026-02-15T00:11:13.841Z,122.7,0,0,0.019,59.9,0
2026-02-15T00:11:08.514Z,125.3,0,0,0.019,60,0
2026-02-15T00:11:03.158Z,117.5,0,0,0.019,60,0
2026-02-15T00:10:57.968Z,117.3,0,0,0.019,60,0
2026-02-15T00:10:52.716Z,117.4,0,0,0.019,60,0
2026-02-15T00:10:47.525Z,117.2,0,0,0.019,59.9,0
2026-02-15T00:10:42.201Z,125.2,0,0,0.019,60,0
2026-02-15T00:10:36.975Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:10:31.754Z,117.1,0,0,0.019,60,0
2026-02-15T00:10:26.535Z,117.2,0,0,0.019,60,0
2026-02-15T00:10:21.255Z,117.2,0,0,0.019,60,0
2026-02-15T00:10:16.070Z,117.2,0,0,0.019,59.9,0
2026-02-15T00:10:10.877Z,117.4,0,0,0.019,60,0
2026-02-15T00:10:05.645Z,117.6,0,0,0.019,60,0
2026-02-15T00:10:00.416Z,117.4,0,0,0.019,60,0
2026-02-15T00:09:55.228Z,117.4,0,0,0.019,60,0
2026-02-15T00:09:50.037Z,117.2,0,0,0.019,60,0
2026-02-15T00:09:44.837Z,117.3,0,0,0.019,60,0
2026-02-15T00:09:39.631Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:34.410Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:29.115Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:23.863Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:18.639Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:13.417Z,125.3,0,0,0.019,59.9,0
2026-02-15T00:09:08.101Z,125.4,0,0,0.019,60,0
2026-02-15T00:09:02.875Z,125.4,0,0,0.019,59.9,0
2026-02-15T00:08:57.544Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:08:52.059Z,125.4,0,0,0.019,59.9,0
2026-02-15T00:08:46.487Z,125.2,0,0,0.019,60,0
2026-02-15T00:08:41.242Z,125.3,0,0,0.019,59.9,0
2026-02-15T00:08:36.045Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:08:30.613Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:08:25.290Z,125.1,0,0,0.019,59.9,0
2026-02-15T00:08:19.966Z,125.2,0,0,0.019,60,0
2026-02-15T00:08:14.638Z,125.2,0,0,0.019,60,0
2026-02-15T00:08:09.321Z,125.1,0,0,0.019,59.9,0
2026-02-15T00:08:04.083Z,118.9,0,0,0.019,60,0
2026-02-15T00:07:58.874Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:07:53.652Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:07:48.384Z,125.3,0,0,0.019,60,0
2026-02-15T00:07:43.202Z,125.3,0,0,0.019,60,0
2026-02-15T00:07:37.877Z,125.3,0,0,0.019,59.9,0
2026-02-15T00:07:32.556Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:07:27.232Z,125.1,0,0,0.019,60,0
2026-02-15T00:07:21.970Z,125.2,0,0,0.019,59.9,0
2026-02-15T00:07:16.782Z,123.5,0,0,0.019,59.9,0
